Timestamp,Open,High,Low,Close.Volume
1417412036,300.0000,300.0000,300.0000,300.0000,0.0100
1417416612,300.0000,370.0000,300.0000,370.0000,0.0466
1417498166,370.0000,377.0000,370.0000,377.0000,0.0100
1417517949,377.0000,377.7500,377.0000,377.7500,0.2500
1417545780,377.7500,378.0000,377.7500,378.0000,13.9500
1417550521,378.0000,378.0000,378.0000,378.0000,0.8036
1417584956,378.0000,378.0000,377.9000,377.9000,0.0100
1417631579,377.9000,378.0000,377.9000,378.0000,0.4266
1417637186,378.0000,378.0000,377.0100,377.0100,0.1000
1417647358,377.0100,378.0000,377.0100,378.0000,0.0100
1417657685,378.0000,378.0000,377.1000,377.1000,0.0100
1417830085,377.1000,378.0000,377.1000,378.0000,0.0150
1418077586,378.0000,378.0000,375.0100,375.0100,0.0100
1418179364,375.0100,398.0000,375.0000,398.0000,0.2350
1418355001,398.0000,398.0000,360.5000,379.0000,0.0600
1418936217,379.0000,379.0000,345.0000,345.0000,4.1000
1420680242,345.0000,360.0000,340.0000,360.0000,1.0100
1420683855,360.0000,360.0000,269.5700,284.0500,1.3900
1420687497,284.0500,348.4300,268.2600,296.3600,1.5000
1420691123,296.3600,314.8500,264.8100,288.2000,1.3200
1420694753,288.2000,314.9600,265.5800,290.3300,1.3800
1420698375,290.3300,314.6200,265.5000,296.0700,1.4500
1420701976,296.0700,314.9100,265.6800,285.6200,1.3800
1420705576,285.6200,314.6000,265.5400,271.6500,1.3800
1420747349,271.6500,312.4300,267.6000,302.6400,0.1900
1421120331,302.6400,314.7200,260.0000,260.0000,1.3500
1421193686,260.0000,260.0000,200.0000,200.0000,0.0100
1421206444,200.0000,221.0000,200.0000,221.0000,0.0100
1421215761,221.0000,221.0000,219.6300,220.0000,0.0200
1421220738,220.0000,220.0000,204.0000,204.0000,0.0446
1421224654,204.0000,204.0000,109.9400,109.9400,0.0500
1421228270,109.9400,197.2700,109.9400,121.6100,0.8500
1421231870,121.6100,199.0000,110.1300,174.0500,1.4200
1421235492,174.0500,197.9000,110.6600,132.8700,1.3600
1421239098,132.8700,198.0000,110.8200,137.6400,1.4100
1421242710,137.6400,197.1500,111.5400,177.5500,1.4500
1421246331,177.5500,197.0700,109.8700,197.0700,1.3300
1421249950,197.0700,197.0700,110.0000,185.2700,1.3900
1421253570,185.2700,197.9700,110.2000,154.2900,1.3500
1421261459,154.2900,196.5800,111.1200,186.0000,0.3454
1421285708,186.0000,191.9900,120.0000,191.9900,0.3946
1421294975,191.9900,192.0000,150.0000,150.0000,1.0189
1421352858,150.0000,199.0000,150.0000,199.0000,0.1933
1421360622,199.0000,224.0000,199.0000,210.5600,0.0351
1421364255,210.5600,211.8300,203.4300,206.6300,1.4300
1421367858,206.6300,211.9100,204.1100,211.8000,0.7100
1421371471,211.8000,211.8900,203.9000,204.9700,1.3500
1421375694,204.9700,212.0000,203.0000,212.0000,0.2600
1421379690,212.0000,225.5000,189.0000,189.0000,0.0500
1421442779,189.0000,200.1200,189.0000,200.1200,0.0100
1421446400,200.1200,209.8200,196.5100,205.7600,1.3200
1421459923,205.7600,210.0000,196.6800,210.0000,1.1830
1421514057,210.0000,210.0000,195.0000,195.0000,0.0100
1421519463,195.0000,210.0000,188.0000,188.0000,0.0300
1421627763,188.0000,210.0000,184.0000,210.0000,0.1490
1421639395,210.0000,225.5100,210.0000,225.5100,0.3100
1421777589,225.5100,225.5100,215.0000,215.0000,0.0100
1421781360,215.0000,215.0000,208.0000,208.0000,0.0100
1421797918,208.0000,217.0000,208.0000,217.0000,0.0100
1421801622,217.0000,224.0000,217.0000,224.0000,0.0450
1421881220,224.0000,224.0000,220.0000,220.0000,0.0100
1421888958,220.0000,245.5000,220.0000,245.5000,0.1027
1421892571,245.5000,255.0600,216.5900,230.4200,2.4800
1421906559,230.4200,257.7300,217.2600,217.5900,1.8500
1422035177,217.5900,239.6700,217.5900,230.0000,0.0300
1422039110,230.0000,230.0000,215.0000,215.0000,0.0700
1422043285,215.0000,232.0000,215.0000,232.0000,0.0500
1422059832,232.0000,235.0000,215.0000,215.0000,0.0600
1422122038,215.0000,235.0000,215.0000,235.0000,0.1100
1422132621,235.0000,250.5800,235.0000,250.5800,0.6100
1422138429,250.5800,250.5800,250.0000,250.0000,0.0100
1422149640,250.0000,250.0000,240.0000,248.0200,1.0299
1422158566,248.0200,255.0500,247.5500,251.7400,6.5075
1422166085,251.7400,251.7400,250.5300,250.5300,0.2922
1422174142,250.5300,250.5300,250.1700,250.1700,1.2624
1422179776,250.1700,250.4900,248.1100,248.1100,0.5926
1422186373,248.1100,248.2500,246.1200,246.1200,6.5930
1422196537,246.1200,247.9000,245.8200,247.9000,24.3881
1422200573,247.9000,252.5300,245.3200,248.9100,140.6038
1422204413,248.9100,249.2800,247.0800,247.0800,3.1677
1422208175,247.0800,249.5700,247.0800,248.5200,42.5326
1422213038,248.5200,248.6800,247.2300,248.2100,8.9541
1422222679,248.2100,250.3300,248.2100,250.3300,2.3373
1422232370,250.3300,262.7800,250.3000,262.7800,241.8936
1422235986,262.7800,275.2600,260.4300,271.2400,385.5253
1422241187,271.2400,277.3200,269.0500,277.3200,80.6853
1422247185,277.3200,290.0000,277.3200,277.7000,3.4663
1422255673,277.7000,284.2500,277.7000,284.2500,13.5502
1422259397,284.2500,299.0000,284.2500,299.0000,587.4938
1422265843,299.0000,300.4000,299.0000,300.4000,0.4400
1422270463,300.4000,307.4600,298.2400,302.1600,46.2836
1422276498,302.1600,306.5500,300.0000,306.5500,29.0324
1422280986,306.5500,306.5500,296.8400,300.0000,248.0180
1422284948,300.0000,322.7200,241.4300,278.8000,2778.4505
1422288549,278.8000,282.6300,261.9500,272.0000,153.0350
1422292208,272.0000,276.0900,271.1000,274.0800,46.6777
1422295820,274.0800,277.7400,267.5000,269.8700,68.8249
1422299431,269.8700,270.3900,261.9900,263.5000,174.4089
1422303284,263.5000,268.2900,262.0400,268.2900,86.9928
1422306889,268.2900,270.7800,266.0000,269.0000,131.4345
1422310510,269.0000,271.9900,267.3000,271.9900,89.5534
1422314119,271.9900,276.0600,269.6100,272.6200,214.3099
1422317882,272.6200,276.9900,269.6000,276.0000,107.8353
1422321488,276.0000,278.4700,254.9900,258.0200,350.0362
1422325096,258.0200,262.4000,257.1100,258.9900,81.8653
1422328750,258.9900,263.2500,253.9900,256.5200,62.4580
1422332385,256.5200,260.0000,256.2400,259.2000,31.0405
1422336090,259.2000,261.9900,257.3100,258.7400,90.2712
1422339760,258.7400,260.5000,258.0000,258.7100,34.8755
1422343368,258.7100,261.9600,258.6100,259.6700,35.0690
1422347256,259.6700,259.7000,258.0700,258.4900,39.4925
1422350993,258.4900,261.9800,257.6000,259.4500,16.1297
1422354605,259.4500,259.4500,244.0300,244.0300,88.7826
1422358227,244.0300,251.2800,244.0300,250.9200,55.6372
1422363816,250.9200,257.5000,250.5400,257.0000,13.6015
